track	shortLabel	longLabel	group	type	visibility	itemRgb	bigDataUrl	priority	html	txt description	who	file received	on-hub	comment	sample
repeatmasker	RepeatMasker	RepeatMasker	Variation and Repeats	bigBed 9	hide	on	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/bb/repeatmasker/mGorGor1.matpat.v2.repeatmasker.bb	1	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_repeatmasker.html	https://eichlerlab.gs.washington.edu/help/glogsdon/t2t_primates/frozen_repaired_assemblies_repeatmasker/whole_genome/html_description_repeatmasker.txt	(Jessica/Fedor)	TRUE	TRUE		mGorGor1
repeatmasker	RepeatMasker	RepeatMasker	Variation and Repeats	bigBed 9	hide	on	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/bb/repeatmasker/mPanPan1.matpat.v1.repeatmasker.bb	1	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_repeatmasker.html	https://eichlerlab.gs.washington.edu/help/glogsdon/t2t_primates/frozen_repaired_assemblies_repeatmasker/whole_genome/html_description_repeatmasker.txt	(Jessica/Fedor)	TRUE	TRUE		mPanPan1
repeatmasker	RepeatMasker	RepeatMasker	Variation and Repeats	bigBed 9	hide	on	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/bb/repeatmasker/mPanTro3.hap1hap2.v1.repeatmasker.bb	1	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_repeatmasker.html	https://eichlerlab.gs.washington.edu/help/glogsdon/t2t_primates/frozen_repaired_assemblies_repeatmasker/whole_genome/html_description_repeatmasker.txt	(Jessica/Fedor)	TRUE	TRUE		mPanTro3
repeatmasker	RepeatMasker	RepeatMasker	Variation and Repeats	bigBed 9	hide	on	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/bb/repeatmasker/mPonAbe1.hap1hap2.v3.repeatmasker.bb	1	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_repeatmasker.html	https://eichlerlab.gs.washington.edu/help/glogsdon/t2t_primates/frozen_repaired_assemblies_repeatmasker/whole_genome/html_description_repeatmasker.txt	(Jessica/Fedor)	TRUE	TRUE		mPonAbe1
repeatmasker	RepeatMasker	RepeatMasker	Variation and Repeats	bigBed 9	hide	on	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/bb/repeatmasker/mPonPyg2.hap1hap2.v3.repeatmasker.bb	1	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_repeatmasker.html	https://eichlerlab.gs.washington.edu/help/glogsdon/t2t_primates/frozen_repaired_assemblies_repeatmasker/whole_genome/html_description_repeatmasker.txt	(Jessica/Fedor)	TRUE	TRUE		mPonPyg2
censat	CenSat	Centromeric Satellite annotations	Variation and Repeats	bigBed 9	dense	on	https://public.gi.ucsc.edu/~hloucks/CenSat/primate/primateCenSatpaper/mGorGor1.matpat.v2.cenSatv1.0.bb	2	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_censat.html		(Hailey)	TRUE	TRUE		mGorGor1
censat	CenSat	Centromeric Satellite annotations	Variation and Repeats	bigBed 9	dense	on	https://public.gi.ucsc.edu/~hloucks/CenSat/primate/primateCenSatpaper/mPanPan1.matpat.v1.cenSatv1.0.bb	2	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_censat.html		(Hailey)	TRUE	TRUE		mPanPan1
censat	CenSat	Centromeric Satellite annotations	Variation and Repeats	bigBed 9	dense	on	https://public.gi.ucsc.edu/~hloucks/CenSat/primate/primateCenSatpaper/mPanTro3.hap1hap2.v1.cenSatv1.0.bb	2	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_censat.html		(Hailey)	TRUE	TRUE		mPanTro3
censat	CenSat	Centromeric Satellite annotations	Variation and Repeats	bigBed 9	dense	on	https://public.gi.ucsc.edu/~hloucks/CenSat/primate/primateCenSatpaper/mPonAbe1.hap1hap2.v3.cenSatv1.0.bb	2	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_censat.html		(Hailey)	TRUE	TRUE		mPonAbe1
censat	CenSat	Centromeric Satellite annotations	Variation and Repeats	bigBed 9	dense	on	https://public.gi.ucsc.edu/~hloucks/CenSat/primate/primateCenSatpaper/mPonPyg2.hap1hap2.v3.cenSatv1.0.bb	2	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_censat.html		(Hailey)	TRUE	TRUE		mPonPyg2
censat_strand	CenSat strand	Centromeric Satellite strand annotations	Variation and Repeats	bigBed 9	dense	on	https://public.gi.ucsc.edu/~hloucks/CenSat/primate/primateCenSatpaper/mGorGor1.matpat.v2.cenSatStrandv1.0.bb	3	https://public.gi.ucsc.edu/~fryabov/ucsc_browser_hubs/hub_t2t-primates_censat/html_descriptions/description_censat_strand.html		(Hailey)	TRUE	TRUE		mGorGor1
