chrom_name,xpos_st,xpos_end,ypos_st,ypos_end
all,0,272,0,1081.67
chr1,272,524,0,1081.67
chr2,524,778,0,1081.67
chr3,778,1012,0,1081.67
chr4,1012,1266,0,1081.67
chr5,1266,1518,0,1081.67
chr6,1518,1764,0,1081.67
chr7,1764,2002,0,1081.67
chr8,2002,2250,0,1081.67
chr9,2250,2504,0,1081.67
chr10,2504,2748,0,1081.67
chr11,2748,2996,0,1081.67
chr12,2996,3240,0,1081.67
chr13,3240,3484,0,1081.67
chr14,3484,3730,0,1081.67
chr15,3730,3986,0,1081.67
chr16,3986,4226,0,1081.67
chr17,4226,4474,0,1081.67
chr18,4474,4716,0,1081.67
chr19,4716,4964,0,1081.67
chr20,4964,5204,0,1081.67
chr21,5204,5456,0,1081.67
chr22,5456,5704,0,1081.67
chrX,5704,5940,0,1081.67
chrY,5940,6154,0,1081.67
