chrom,label
chm13_chr1,CHM13
chm1_chr1,CHM1
HG00733_chr1_haplotype1-0000023,Smallest
NA19983_chr1_haplotype1-0000019,Largest
HG00514_chr1_haplotype1-0000028,Distinct
HG02953_chr1_haplotype1-0000013,Distinct
HG02818_chr1_haplotype1-0000050,Distinct
NA19347_chr1_haplotype2-0000079,Distinct
HG00733_chr1_haplotype2-0000082,Distinct
chm13_chr2,CHM13
chm1_chr2,CHM1
HG02666_chr2_haplotype2-0000083,Smallest
NA19238_chr2_haplotype1-0000032,Largest
HG00171_chr2_haplotype2-0000161,Distinct
HG01573_chr2_haplotype1-0000020,Distinct
NA19434_chr2_haplotype2-0000111,Distinct
NA19129_chr2_haplotype1-0000035,Distinct
HG03456_chr2_haplotype1-0000008,Distinct
chm13_chr3,CHM13
chm1_chr3,CHM1
HG00268_chr3_haplotype1-0000018,Smallest
NA19347_chr3_haplotype1-0000038,Largest
HG00864_chr3_haplotype1-0000016,Distinct
HG01457_chr3_haplotype1-0000028,Distinct
NA19240_chr3_haplotype1-0000002,Distinct
NA19129_chr3_haplotype2-0000082,Distinct
NA19331_chr3_haplotype1-0000011,Distinct
chm13_chr4,CHM13
chm1_chr4,CHM1
HG02059_chr4_haplotype2-0000141,Smallest
HG02769_chr4_haplotype1-0000001,Largest
HG01114_chr4_haplotype1-0000014,Distinct
HG03371_chr4_haplotype1-0000023,Distinct
HG02011_chr4_haplotype2-0000077,Distinct
HG03520_chr4_haplotype1-0000028,Distinct
NA19434_chr4_haplotype1-0000016,Distinct
NA19036_chr4_haplotype1-0000017,Distinct
NA19983_chr4_haplotype1-0000015,Distinct
chm13_chr5,CHM13
chm1_chr5,CHM1
NA19317_chr5_haplotype2-0000071,Smallest
NA19983_chr5_haplotype1-0000001,Largest
NA19331_chr5_haplotype2-0000181,Distinct
NA19238_chr5_haplotype2-0000112,Distinct
NA19239_chr5_haplotype1-0000022,Distinct
HG00513_chr5_haplotype2-0000116,Distinct
NA19650_chr5_haplotype2-0000085,Distinct
HG02011_chr5_haplotype2-0000078,Distinct
chm13_chr6,CHM13
chm1_chr6,CHM1
NA19239_chr6_haplotype2-0000069,Smallest
HG02492_chr6_haplotype1-0000009,Largest
HG03456_chr6_haplotype1-0000028,Distinct
HG02818_chr6_haplotype1-0000027,Distinct
HG02282_chr6_haplotype1-0000021,Distinct
NA19705_chr6_haplotype1-0000029,Distinct
NA19384_chr6_haplotype2-0000112,Distinct
HG03248_chr6_haplotype2-0000148,Distinct
chm13_chr7,CHM13
chm1_chr7,CHM1
HG00171_chr7_haplotype1-0000027,Smallest
HG00513_chr7_haplotype1-0000002,Largest
NA19650_chr7_haplotype1-0000033,Distinct
HG03009_chr7_haplotype1-0000024,Distinct
HG02492_chr7_haplotype1-0000002,Distinct
NA20355_chr7_haplotype2-0000160,Distinct
NA19238_chr7_haplotype2-0000097,Distinct
HG02666_chr7_haplotype1-0000015,Distinct
chm13_chr8,CHM13
chm1_chr8,CHM1
HG02587_chr8_haplotype1-0000015,Smallest
NA19384_chr8_haplotype2-0000113,Largest
HG02769_chr8_haplotype2-0000205,Distinct
NA19836_chr8_haplotype2-0000110,Distinct
NA19036_chr8_haplotype2-0000081,Distinct
NA19240_chr8_haplotype1-0000026,Distinct
HG03371_chr8_haplotype1-0000003,Distinct
NA19384_chr8_haplotype1-0000012,Distinct
HG03371_chr8_haplotype2-0000071,Distinct
NA19983_chr8_haplotype2-0000091,Distinct
chm13_chr9,CHM13
chm1_chr9,CHM1
HG00171_chr9_haplotype2-0000142,Smallest
HG03009_chr9_haplotype1-0000029,Largest
NA19238_chr9_haplotype2-0000119,Distinct
NA19129_chr9_haplotype1-0000029,Distinct
HG03520_chr9_haplotype1-0000014,Distinct
chm13_chr10,CHM13
chm1_chr10,CHM1
HG02282_chr10_haplotype1-0000038,Smallest
HG00358_chr10_haplotype1-0000023,Largest
HG04217_chr10_haplotype2-0000056,Distinct
HG02587_chr10_haplotype2-0000052,Distinct
HG01352_chr10_haplotype1-0000016,Distinct
HG00171_chr10_haplotype2-0000170,Distinct
NA19240_chr10_haplotype1-0000010,Distinct
HG03371_chr10_haplotype2-0000070,Distinct
NA19129_chr10_haplotype2-0000097,Distinct
chm13_chr11,CHM13
chm1_chr11,CHM1
HG00171_chr11_haplotype1-0000032,Smallest
HG00733_chr11_haplotype1-0000022,Largest
NA19129_chr11_haplotype1-0000004,Distinct
HG00268_chr11_haplotype2-0000074,Distinct
HG00268_chr11_haplotype1-0000027,Distinct
HG02769_chr11_haplotype2-0000223,Distinct
HG03456_chr11_haplotype1-0000024,Distinct
chm13_chr12,CHM13
chm1_chr12,CHM1
HG02769_chr12_haplotype2-0000183,Smallest
HG02953_chr12_haplotype2-0000129,Largest
NA19240_chr12_haplotype2-0000093,Distinct
NA24385_chr12_haplotype1-0000003,Distinct
HG03807_chr12_haplotype2-0000092,Distinct
NA19317_chr12_haplotype1-0000015,Distinct
NA20355_chr12_haplotype1-0000024,Distinct
chm13_chr13,CHM13
chm1_chr13,CHM1
HG03683_chr13_haplotype1-0000030,Smallest
NA18534_chr13_haplotype1-0000011,Largest
HG03248_chr13_haplotype2-0000167,Distinct
HG02018_chr13_haplotype1-0000024,Distinct
NA19317_rc-chr13_haplotype1-0000021,Distinct
NA19650_chr13_haplotype2-0000080,Distinct
NA19983_chr13_haplotype2-0000113,Distinct
HG03520_chr13_haplotype1-0000001,Distinct
HG02666_chr13_haplotype2-0000070,Distinct
chm13_chr14,CHM13
chm1_chr14,CHM1
HG02554_chr14_haplotype2-0000189,Smallest
HG02011_chr14_haplotype1-0000012,Largest
NA19705_chr14_haplotype1-0000022,Distinct
HG02953_chr14_haplotype2-0000150,Distinct
NA19240_chr14_haplotype1-0000005,Distinct
chm13_chr15,CHM13
chm1_chr15,CHM1
HG00732_chr15_haplotype1-0000021,Smallest
HG02587_chr15_haplotype2-0000078,Largest
NA18989_chr15_haplotype2-0000147,Distinct
NA19983_chr15_haplotype2-0000089,Distinct
HG01890_chr15_haplotype2-0000066,Distinct
HG03371_chr15_haplotype1-0000002,Distinct
chm13_chr16,CHM13
chm1_chr16,CHM1
NA19331_chr16_haplotype1-0000001,Smallest
NA19650_chr16_haplotype1-0000006,Largest
HG00171_chr16_haplotype2-0000143,Distinct
HG02282_chr16_haplotype1-0000033,Distinct
HG02818_chr16_haplotype2-0000154,Distinct
NA19129_chr16_haplotype2-0000086,Distinct
chm13_chr17,CHM13
chm1_chr17,CHM1
HG02554_chr17_haplotype1-0000007,Smallest
HG02059_chr17_haplotype2-0000140,Largest
HG00512_chr17_haplotype2-0000266,Distinct
NA19347_chr17_haplotype1-0000041,Distinct
HG03371_chr17_haplotype1-0000028,Distinct
HG03009_chr17_haplotype2-0000055,Distinct
NA19384_chr17_haplotype1-0000018,Distinct
HG02953_chr17_haplotype2-0000151,Distinct
chm13_chr18,CHM13
chm1_chr18,CHM1
NA20355_chr18_haplotype1-0000014,Smallest
NA19239_chr18_haplotype1-0000025,Largest
HG01114_chr18_haplotype2-0000275,Distinct
HG02666_chr18_haplotype1-0000021,Distinct
NA19238_chr18_haplotype1-0000002,Distinct
HG03371_chr18_haplotype2-0000068,Distinct
HG00358_chr18_haplotype2-0000092,Distinct
chm13_chr19,CHM13
chm1_chr19,CHM1
HG04217_chr19_haplotype1-0000002,Smallest
HG00864_chr19_haplotype2-0000081,Largest
HG00733_chr19_haplotype2-0000086,Distinct
NA19331_chr19_haplotype1-0000008,Distinct
NA19129_chr19_haplotype2-0000101,Distinct
HG02059_chr19_haplotype2-0000152,Distinct
HG04217_chr19_haplotype2-0000074,Distinct
NA24385_chr19_haplotype2-0000072,Distinct
HG01505_chr19_haplotype1-0000027,Distinct
chm13_chr21,CHM13
chm1_chr21,CHM1
NA19650_chr21_haplotype1-0000015,Smallest
HG03732_chr21_haplotype1-0000023,Largest
HG03371_chr21_haplotype1-0000032,Distinct
HG03520_chr21_haplotype2-0000146,Distinct
HG03009_chr21_haplotype1-0000010,Distinct
HG03683_chr21_haplotype1-0000003,Distinct
HG01596_chr21_haplotype1-0000009,Distinct
chm13_chrX,CHM13
chm1_chrX,CHM1
HG02666_chrX_haplotype1-0000029,Smallest
HG03807_chrX_haplotype2-0000084,Largest
chm13_chrY,CHM13_HG002
Null,Null
HG03248_chrX_haplotype2-0000160,Distinct
NA24385_chrY_haplotype2-0000081,Distinct
NA19384_chrY_haplotype1-0000001,Distinct
HG03009_chrY_haplotype1-0000033,Distinct
HG01505_chrY_haplotype1-0000028,Distinct
HG02492_chrY_haplotype1-0000028,Distinct
HG02666_chrY_haplotype2-0000089,Distinct
HG01457_chrY_haplotype2-0000103,Distinct
