chrom_name,xpos_st,xpos_end,ypos_st,ypos_end,rows
chr1,224.188,2322.25,1159.33,2095.33,9
chr2,2322.25,3665.98,1159.33,2095.33,9
chr3,3665.98,5329.78,1159.33,2095.33,9
chr4,5329.78,6750.31,1159.33,2303.33,11
chr5,6750.31,8500,1159.33,2199.33,10
chr6,247.677,2146.24,3007.51,4047.51,10
chr7,2146.24,3755.48,3007.51,4047.51,10
chr8,3755.48,5229.46,3007.51,4255.51,12
chr9,5229.46,6819.06,3007.51,3735.51,7
chr10,6819.06,8500,3007.51,4151.51,11
chr11,213.25,2172.83,4963.04,5899.04,9
chr12,2172.83,3638.39,4963.04,5899.04,9
chr13,3638.39,5221.94,4963.04,6107.04,11
chr14,5221.94,6794.25,4963.04,5691.04,7
chr15,6794.25,8500,4963.04,5795.04,8
chr16,222.01,2119.66,6813.53,7645.53,8
chr17,2119.66,3645.4,6813.53,7853.53,10
chr18,3645.4,5275.63,6813.53,7749.53,9
chr19,5275.63,6865.65,6813.53,7957.53,11
chr20,6865.65,8500,6813.53,8061.53,12
chr21,226.125,2149.69,8766.54,9702.54,9
chr22,2149.69,3675.66,8766.54,9702.54,9
chrX,3675.66,5327.66,8766.54,9286.54,5
chrY,5327.66,6520.99,8766.54,9702.54,9
