chrom_name,xpos_st,xpos_end,ypos_st,ypos_end,rows
chr1,112.094,1161.12,579.665,1047.66,9
chr2,1161.12,1832.99,579.665,1047.66,9
chr3,1832.99,2664.89,579.665,1047.66,9
chr4,2664.89,3375.16,579.665,1151.66,11
chr5,3375.16,4250,579.665,1099.66,10
chr6,123.838,1073.12,1503.76,2023.76,10
chr7,1073.12,1877.74,1503.76,2023.76,10
chr8,1877.74,2614.73,1503.76,2127.76,12
chr9,2614.73,3409.53,1503.76,1867.76,7
chr10,3409.53,4250,1503.76,2075.76,11
chr11,106.625,1086.41,2481.52,2949.52,9
chr12,1086.41,1819.19,2481.52,2949.52,9
chr13,1819.19,2610.97,2481.52,3053.52,11
chr14,2610.97,3397.12,2481.52,2845.52,7
chr15,3397.12,4250,2481.52,2897.52,8
chr16,111.005,1059.83,3406.76,3822.76,8
chr17,1059.83,1822.7,3406.76,3926.76,10
chr18,1822.7,2637.82,3406.76,3874.76,9
chr19,2637.82,3432.82,3406.76,3978.76,11
chr20,3432.82,4250,3406.76,4030.76,12
chr21,113.062,1074.85,4383.27,4851.27,9
chr22,1074.85,1837.83,4383.27,4851.27,9
chrX,1837.83,2663.83,4383.27,4643.27,5
chrY,2663.83,3260.49,4383.27,4851.27,9
