chrom,xpos_st,xpos_end,ypos_st,ypos_end,rows
chr1,224.188,2322.25,1156.25,1989.58,8
chr2,2322.25,3665.98,1156.25,1989.58,8
chr3,3665.98,5329.78,1156.25,1989.58,8
chr4,5329.78,6750.31,1156.25,2197.92,10
chr5,6750.31,8500,1156.25,2093.75,9
chr6,247.677,2146.24,3010.42,3947.92,9
chr7,2146.24,3755.48,3010.42,3947.92,9
chr8,3755.48,5229.46,3010.42,4156.25,11
chr9,5229.46,6819.06,3010.42,3635.42,6
chr10,6819.06,8500,3010.42,4052.08,10
chr11,213.25,2172.83,4958.33,5791.67,8
chr12,2172.83,3638.39,4958.33,5791.67,8
chr13,3638.39,5221.94,4958.33,6000,10
chr14,5221.94,6794.25,4958.33,5583.33,6
chr15,6794.25,8500,4958.33,5687.5,7
chr16,222.01,2119.66,6812.5,7541.67,7
chr17,2119.66,3645.4,6812.5,7750,9
chr18,3645.4,5275.63,6812.5,7645.83,8
chr19,5275.63,6865.65,6812.5,7854.17,10
chr20,6865.65,8500,6812.5,7958.33,11
chr21,226.125,2149.69,8760.42,9593.75,8
chr22,2149.69,3675.66,8760.42,9593.75,8
chrX,3675.66,5327.66,8760.42,9177.08,4
chrY,5327.66,6520.99,8760.42,9489.58,7
