chrom_name,xpos_st,xpos_end,ypos_st,ypos_end
all,0,136,0,540.833
chr1,136,262,0,540.833
chr2,262,389,0,540.833
chr3,389,506,0,540.833
chr4,506,633,0,540.833
chr5,633,759,0,540.833
chr6,759,882,0,540.833
chr7,882,1001,0,540.833
chr8,1001,1125,0,540.833
chr9,1125,1252,0,540.833
chr10,1252,1374,0,540.833
chr11,1374,1498,0,540.833
chr12,1498,1620,0,540.833
chr13,1620,1742,0,540.833
chr14,1742,1865,0,540.833
chr15,1865,1993,0,540.833
chr16,1993,2113,0,540.833
chr17,2113,2237,0,540.833
chr18,2237,2358,0,540.833
chr19,2358,2482,0,540.833
chr20,2482,2602,0,540.833
chr21,2602,2728,0,540.833
chr22,2728,2852,0,540.833
chrX,2852,2970,0,540.833
chrY,2970,3077,0,540.833
